sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days
769513;AKUKU A1231 - Okrycie kąpielowe -( 80x80 cm) - 100% bawełna - ecru;-2;9;0,146;3;5;0
PR-000011;AVENT-ZESTAW: Butelka dla niemowląt 125ml + SMOCZEK uspokajający - 0 m+ (dla chłopca);0;1;0,016;1;1;0
767497;B.O.1451  - Butelka antykolkowa - (260ml) - Babyono - Natural Nursing;0;1;0,016;1;1;0
5907400;B.O.1479/01 - Kocyk Bambusowy - Dzianina  - (kremowy);0;1;0,016;1;1;0
5907404;B.O.1479/03 - Kocyk Bambusowy - Dzianina  - (beżowy);0;1;0,016;1;1;0
5908858;B.O.1552/01 - Okrycie kąpielowe frotte z kapturkiem (100x100cm) -100% Bawełna - (różowe);0;1;0,016;1;1;0
5908863;B.O.1553/02 - Okrycie kąpielowe z kapturkiem - Bambusowe -  100x100cm (niebieskie);0;1;0,016;1;1;0
5,90144E+12;B.O.1673 - Kocyk Bambusowy - Dzianina - Niebieski/04;0;1;0,016;1;1;0
5,90144E+12;B.O.1673 - Kocyk Bambusowy - Dzianina - Różowy/01;0;1;0,016;1;1;0
5906742;B.O.585/30 - Biustonosz do karmienia - NEUTRALNY - B 75-80;0;1;0,016;1;1;0
773983;B.O.777/03 - Termometr do wody - TAKE CARE - niebieski;-1;1;0,016;1;2;0
BAM000001;BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar S - (25 szt.) - (3-8kg);0;8;0,129;2;2;0
1068;BELLA - Wkładki laktacyjne MAMMA - (30 szt.);-3;176;2,846;40;43;0
781342;BELLA Baby Happy Chusteczki nasączone - wit.E i Alantoina - (64 szt.);0;2;0,032;1;1;0
BIBS-SZALWIA-12;BIBS - Smoczek - kauczuk - SZAŁWIA - 2 (6m+);-1;1;0,016;1;2;0
;BIBS STUDIO - Smoczek uspokajający - (2-pak) - latex - baby blue / dusty blue - BIBS-STUDIO-BABYBLUE-DUSTYBLUE-3;0;156;2,523;36;36;0
5,90169E+12;CANPOL 34/930(1) - SMOCZEK  - silikon orthodontic - SYMETRYCZNY - ( 0-6m, 6-18m) - MOUNTAINS żółte- 2 szt. - 0-6m;0;1;0,016;1;1;0
774241;CANPOL 9/809 - Nożyczki + cążki + pilniczek;0;2;0,032;1;1;0
789088;CHICCO 00002256400000 - Krem na brodawki - (30 ml);0;1;0,016;1;1;0
000644;HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.) - 38-40;0;7;0,113;2;2;0
TCB.9504.SWEET_PINK.XL.01;Koszula do karmienia - (SWEET_PINK) - Doctor Nap - XL;-1;1;0,016;1;2;0
TCB.4348.BEIGE.XL.01;Koszula do karmienia - (beige) - Doctor Nap - XL;0;1;0,016;1;1;0
TCB.5336.DEEP_BLUE.M.01;Koszula do karmienia -( DEEP BLUE) - Doctor Nap - M;-1;2;0,032;1;2;0
TM.9301.DARK_GREY.M.01;Koszula do karmienia -(DARK_GREY) -Doctor Nap - M;0;1;0,016;1;1;0
TM.9301.DARK_GREY.XXL.01;Koszula do karmienia -(DARK_GREY) -Doctor Nap - XXL;0;1;0,016;1;1;0
TCB.9992.GRAPHITE.XL.01;Koszula do karmienia -(GRAPHITE) - Doctor Nap - XL;0;3;0,049;1;1;0
779079;MATEX - KOCYK - PRESTIGE bawełniany dwustronny -(Кozmiar 75x100);0;1;0,016;1;1;0
5908623;NIVEA BABY - Mój pierwszy KREM  - (75 ml);0;2;0,032;1;1;0
5912041;Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, Żyrafki beżowo-różowa) - bawełna 100%;0;1;0,016;1;1;0
ROZ-8003;Rożek niemowlęcy MIX - standard 80x80 cm - DWUSTRONNY - bawełna - Misie;-2;4;0,065;1;3;0
SOC.2201.COSMOS__35_37.S.01;Skarpety damskie (COSMOS) Best Mom - Doctor Nap - 35-37;0;1;0,016;1;1;0
TORBA-MANIY-NIEBIESKA;Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Torba do szpitala dla mamy M.A.N.I.Y z dolną komorą - Kolor: Niebieski;0;1;0,016;1;1;0
