legacy_id,title,old_handle,new_handle,seo_title_updated,seo_description_updated,handle_updated,redirect_created,success,error
9816077205837,AVENT-ZESTAW:  Butelka dla niemowląt 125 ml + SMOCZEK uspokajający 0m+ (dla dziewczynki),avent-zestaw-scy900-01-responsywna-1,avent-zestaw-butelka-niemowlat-125-ml-smoczek-uspokajajacy,True,True,True,True,True,
9816081236301,AVENT-ZESTAW: Butelka dla niemowląt 125ml + SMOCZEK uspokajający - 0 m+ (dla chłopca),avent-zestaw-scy900-01-responsywna-2,avent-zestaw-butelka-niemowlat-125-ml-smoczek-uspokajajacy-2,True,True,True,True,True,
9870207320397,Torba do szpitala-03,torba-do-szpitala-1,torba-do-szpitala-03,True,True,True,True,True,
9870213415245,Torba do szpitala-02,torba-do-szpitala-2,torba-do-szpitala-02,True,True,True,True,True,
9870226653517,Torba do szpitala-01,torba-do-szpitala-3,torba-do-szpitala-01,True,True,True,True,True,
9916729557325,Klapki damskie - Żółty,klapki-damskie-bialy-1,klapki-damskie-zolty,True,True,True,True,True,
9916730147149,Klapki damskie - Różowy,klapki-damskie-rozowy-1,klapki-damskie-rozowy,True,True,True,True,True,
10489858523469,BIBS (50171216) - BUTELKA - (SILIKON) - ŚREDNI PRZEPŁYW - (270 ML) - KOŚĆ SŁONIOWA (Copy),bibs-50171216-butelka-silikon-sredni-przeplyw-270-ml-kosc-sloniowa-copy,bibs-butelka-silikon-sredni-przeplyw-270-ml-kosc,True,True,True,True,True,
10519344120141,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PODSTAWOWA,podstawowy-md,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa,True,True,True,True,True,
10523326054733,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,podstawowy-md-2,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna,True,True,True,True,True,
10537613984077,Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,torba-do-szpitala-dla-noworodka-gotowa-wyprawka-premium-1,torba-do-szpitala-noworodka-gotowa-wyprawka-rozszerzona,True,True,True,True,True,
10537616703821,Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,torba-do-szpitala-dla-noworodka-gotowa-wyprawka-premium-2,torba-do-szpitala-noworodka-gotowa-wyprawka-kompletna,True,True,True,True,True,
10558848336205,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA,podstawowy-md-1,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona,True,True,True,True,True,
10588679831885,BIBS - Smoczek - kauczuk - SZAŁWIA,bibs-1001000250-smoczek-anatomiczny-kauczuk-0-szalwia-1-szt-copy,bibs-smoczek-kauczuk-szalwia,True,True,True,True,True,
10594690138445,B.O.1673 - Kocyk Bambusowy - Dzianina,b-o-1673-01-kocyk-bambusowy-dzianina-rozowy-copy,b-o-kocyk-bambusowy-dzianina,True,True,True,True,True,
10599592624461,Rożek niemowlęcy MUŚLINOWY - 75x75 cm - z kokardą - bawełna,rozek-niemowlecy-muslinowy-75x75-cm-z-kokarda-bawelna-copy,rozek-niemowlecy-muslinowy-75-x-cm-kokarda-bawelna,True,True,True,True,True,
10606522073421,BIBS STUDIO - Smoczek uspokajający - (2-pak) - latex - baby blue / dusty blue,bibs-liberty-smoczek-uspokajajacy-2-pak-latex-rozowy-copy,bibs-studio-smoczek-uspokajajacy-2-pak-latex-baby,True,True,True,True,True,
10619176747341,PIKOWANA TORBA do szpitala z MOTYWEM GWIAZDEK I KSIĘŻYCA -  Rozmiar: L,pikowana-torba-do-szpitala-z-niedzwiedziem-rozmiar-l-copy,pikowana-torba-do-szpitala-motywem-gwiazdek-ksiezyca-l,True,True,True,True,True,
10619255030093,ORGANIZER na akcesoria niemowlęce - w stylu  BOHO,organizer-na-pieluchy-i-akcesoria-pleciony-3-przegrody-uchwyty-copy,organizer-akcesoria-niemowlece-w-stylu-boho,True,True,True,True,True,
10621081583949,PIKOWANA TORBA dla mamy i niemowlęcia  – mleczna Z MOTYWEM MISIÓW,pikowana-torba-do-szpitala-z-niedzwiedziem-rozmiar-l-copy-1,pikowana-torba-mamy-niemowlecia-mleczna-motywem-misiow,True,True,True,True,True,
10624865861965,Huggies Extra Care – PIELUSZKI JEDNORAZOWE -  Rozmiar 1 - (2–5 kg) - 26 szt.,dada-extra-care-pieluszki-jednorazowe-rozm-1-2-5-kg-26-szt-copy,huggies-extra-care-pieluszki-jednorazowe-1-25-kg,True,True,True,True,True,
9756449374541,Bocioland - PODKŁAD JENORAZOWY - 60X90cm - (10szt),bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,True,True,False,False,True,
9756449407309,SENI SOFT SUPER - Podkłady higieniczne 40x60cm - (5 sztuk),bella-podkl-a-5szt-hig-40x60-seni-soft-super,bella-podkl-a-5szt-hig-40x60-seni-soft-super,True,True,False,False,True,
9756449472845,HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.),horizon-majtki-poporodowe-siatka-38-40-a-2szt,horizon-majtki-poporodowe-siatka-38-40-a-2szt,True,True,False,False,True,
9756449669453,OLA BABY - Chusteczki nawilżane z alantoiną - (72 szt.),ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,True,True,False,False,True,
9756449702221,Majtki ciążowe Medela - Rozmiar L,me-figi-l-bialy,me-figi-l-bialy,True,True,False,False,True,
9756449767757,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 16SZT,chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,True,True,False,False,True,
9756449800525,CHICCO - Chusteczki Pielęgnacyjne - (72szt)  0m+,chicco-916310-chusteczki-pielegnacyjne-72szt-0m,chicco-916310-chusteczki-pielegnacyjne-72szt-0m,True,True,False,False,True,
9756449866061,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 72SZT,chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,True,True,False,False,True,
9756449931597,KINDII PURE KIN000017 - PATYCZKI dla niemowląt (60szt.),kindii-patyczki-a-60szt-pudelko-pure,kindii-patyczki-a-60szt-pudelko-pure,True,True,False,False,True,
9756449997133,KINDII (HAR02DZ040) - PURE WATER 99% - CHUSTECZKI Wodne 60 szt.,kindii-chusteczki-a-60szt-pure-water-99-har02dz04,kindii-chusteczki-a-60szt-pure-water-99-har02dz04,True,True,False,False,True,
9756450029901,Kindii Pure -  Płatki Bawełniane Kosmetyczne Dla Niemowląt - (60szt),kindii-platki-baby-a-60szt-12863,kindii-platki-baby-a-60szt-12863,True,True,False,False,True,
9756450128205,LANSINOH - Butelka do karmienia - SZKLANA ze smoczkiem - (160ML),lansinoh-butelka-do-karmienia-szklana-160ml,lansinoh-butelka-do-karmienia-szklana-160ml,True,True,False,False,True,
9756450160973,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku kokosa i wanilii - 6,5g",skarb-matki-pomadka-ochronna-dla-dzieci-o-smaku-kokosa-i-wanilii,skarb-matki-pomadka-ochronna-dla-dzieci-o-smaku-kokosa-i-wanilii,True,True,False,False,True,
9756450193741,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku malinowym - 6,5g",skarb-matki-pomadka-ochronna-dla-dzieci-smak-malinowy,skarb-matki-pomadka-ochronna-dla-dzieci-smak-malinowy,True,True,False,False,True,
9756450259277,LINOMAG - Puder dla dzieci i niemowląt - (100g),linomag-puder-100g-hig-kosm-dla-dzieci-i-niemowlat-k056,linomag-puder-100g-hig-kosm-dla-dzieci-i-niemowlat-k056,True,True,False,False,True,
9756450292045,LINOMAG - Żel do mycia ciała i głowy - dla dzieci i niemowląt - (200 ML),linomag-zel-do-mycia-ciala-i-glowy-dla-dzieci-i-niemowlat-200-ml-k035,linomag-zel-do-mycia-ciala-i-glowy-dla-dzieci-i-niemowlat-200-ml-k035,True,True,False,False,True,
9756450324813,LINOMAG - Krem z tlenkiem Cynku - (50 ML),linomag-krem-z-tlenkiem-cynku-50-ml-k014,linomag-krem-z-tlenkiem-cynku-50-ml-k014,True,True,False,False,True,
9756450357581,BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar XS - (27szt) - (2-4kg),bamboolove-pieluszki-jednorazowe-r-xs-27szt,bamboolove-pieluszki-jednorazowe-r-xs-27szt,True,True,False,False,True,
9756450488653,BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar S - (25 szt.) - (3-8kg),bamboolove-pieluszki-jednorazowe-rozm-s-25szt,bamboolove-pieluszki-jednorazowe-rozm-s-25szt,True,True,False,False,True,
9756450521421,BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar M - (24 szt.) - (6-11kg),bamboolove-pieluszki-jednorazowe-rozm-m-24szt,bamboolove-pieluszki-jednorazowe-rozm-m-24szt,True,True,False,False,True,
9756450554189,BAMBOOLOVE - Chusteczki nawilżane - Bambusowe - (60 szt.),bamboolove-bambusowe-chusteczki-nawilzan-e-60szt,bamboolove-bambusowe-chusteczki-nawilzan-e-60szt,True,True,False,False,True,
9756450619725,Bella Baby Happy Papierowe Patyczki Higieniczne 56Szt,bella-patyczki-a-56-szt-baby-happy-papierowe-patyczki,bella-patyczki-a-56-szt-baby-happy-papierowe-patyczki,True,True,False,False,True,
