product_id,legacy_id,status,title,handle,vendor,product_type,description,current_seo_title,current_seo_description,online_store_url,recommended_handle,recommended_seo_title,recommended_seo_description,change_handle,handle_change_reason,change_seo_title,change_seo_description
gid://shopify/Product/9756449374541,9756449374541,ACTIVE,Bocioland - PODKŁAD JENORAZOWY - 60X90cm - (10szt),bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,mamapack,,"Podkłady higieniczne dla dzieci chłonne 60x90 cm Bocioland Produkt: podkłady higieniczne Marka: Bocioland Rodzaj: w płatach Materiał: włóknina Liczba sztuk w opakowaniu: 10 szt. Szerokość produktu: 60 cm Długość: 90 cm Zadbaj o czystość i komfort w każdej sytuacji! Bocioland podkłady higieniczne 90 x 60 cm to niezastąpione wsparcie dla świeżo upieczonych mam oraz opiekunów małych dzieci. Czy to w domu, czy w podróży, możesz mieć pewność, że łóżeczko i powierzchnie, na których przewijasz malucha, będą zawsze czyste i suche. Jednorazowe podkłady wykonane zostały z przyjemnej w dotyku włókniny, która skutecznie odprowadza wilgoć do wnętrza zapewniając suchą powierzchnię i pełen komfort. Cechy produktu: ✅ Chłonny wkład celulozowy zapewnia pełną izolację wilgoci, co daje poczucie suchości i komfortu dla Twojego maluszka; ✅ Specjalna włóknina wierzchnia skutecznie odprowadza płyn do wewnątrz podkładu, dzięki czemu powierzchnia pozostaje sucha i przyjemna w dotyku; ✅ Jednorazowe podkłady doskonale chronią przed zabrudzeniami a po użyciu można je wyrzucić co sprawia, że utrzymanie czystości jest wyjątkowo łatwe; ✅ Wielofunkcyjne zastosowanie umożliwia użycie ich nie tylko w domu, ale także w podróży, zapewniając wygodę w każdej sytuacji; ✅ Optymalny rozmiar 90 cm x 60 cm zapewnia skuteczną ochronę dużych powierzchni, chroniąc łóżeczko, przewijak czy wózek przed zabrudzeniami. Bocioland Bocioland to polska marka, która codziennie wspiera Mamy i ich maluszki w opiece i zabawie, oferując produkty wysokiej jakości. Z myślą o wygodzie i bezpieczeństwie dzieci oraz spokoju rodziców, Bocioland projektuje i produkuje akcesoria, które odpowiadają na realne potrzeby rodzin. Tworzymy nasze produkty z sercem i dbałością o szczegóły, by każdy zakup był przemyślanym wyborem, a każdy element codzienności stawał się łatwiejszy i przyjemniejszy. Bocioland to marka, której możesz zaufać – wybór, który zawsze działa na korzyść Mam i ich pociech.",Jednorazowe podkłady Bocioland 60x90 cm - 10 sztuk,"Chłonne podkłady higieniczne Bocioland 60x90 cm zapewniają komfort i suchość. Idealne do przewijania niemowląt, ochrony materacy i dla kobiet w okresie połogu. Wykonane z miękkiej włókniny, przyjazne dla skóry, niezastąpione w domu i podróży",https://mamapack.pl/products/bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,Bocioland - Podkład Jednorazowy - 60x90cm - 10 szt – mamapack,Bocioland - Podkład Jednorazowy - 60x90cm - 10 szt. Bocioland podkłady higieniczne 90 x 60 cm to niezastąpione wsparcie dla świeżo upieczonych mam oraz,False,,True,True
gid://shopify/Product/9756449407309,9756449407309,ACTIVE,SENI SOFT SUPER - Podkłady higieniczne 40x60cm - (5 sztuk),bella-podkl-a-5szt-hig-40x60-seni-soft-super,mamapack,,"Podkłady higieniczne SENI SOFT SUPER 40x60cm, 5 sztuk: Marka: Seni Rozmiar: 40cm x 60cm Ilość w opakowaniu: 5 sztuk Podkłady higieniczne Seni Soft Super to wyrób chłonny jednorazowego użytku. Stosowane jako dodatkowe zabezpieczenie zapobiegają zawilgoceniu lub ubrudzeniu materaców i pościeli. Gwarantują wygodę i duży komfort użytkowania. Sprawdzona ochrona Zapobieganie przeciekaniu – zewnętrzna warstwa z nieprzepuszczalnej, antypoślizgowej folii zapobiega przeciekaniu wilgoci i przemieszczaniu się podkładu. Zapobieganie powstawaniu odparzeń i podrażnień – specjalna struktura warstwy zewnętrznej podkładu umożliwia przepływ powietrza, przy jednoczesnym nieprzepuszczaniu cieczy, dzięki czemu skóra może swobodnie oddychać. Oddychalność wyrobu sprawia, że powstaje mniej odparzeń i podrażnień. Podwyższony komfort użytkowania – wyjątkowo miękka i delikatna włóknina pozwala na zachowanie dużej wygody. Zmniejszone ryzyko powstawania reakcji alergicznych – podkłady Seni Soft Super poddane zostały niezależnym testom dermatologicznym uzyskały pozytywną opinię specjalistów.",Podkłady higieniczne Bella Seni Soft Super 40x60 cm - 5 sztuk,"Podkłady higieniczne Bella Seni Soft Super 40x60 cm. Chłonne, z miękką włókniną wierzchnią, idealne do ochrony materacy i przewijania niemowląt. Dzięki antypoślizgowej folii są wygodne i zapewniają dodatkową ochronę przed zawilgoceniem. Opakowanie: 5 sztuk​",https://mamapack.pl/products/bella-podkl-a-5szt-hig-40x60-seni-soft-super,bella-podkl-a-5szt-hig-40x60-seni-soft-super,Seni Soft Super - Podkłady higieniczne 40x60cm – mamapack,Seni Soft Super - Podkłady higieniczne 40x60cm - (5 sztuk). Stosowane jako dodatkowe zabezpieczenie zapobiegają zawilgoceniu lub ubrudzeniu materaców i,False,,True,True
gid://shopify/Product/9756449472845,9756449472845,ACTIVE,HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.),horizon-majtki-poporodowe-siatka-38-40-a-2szt,mamapack,,"Horizon majtki siatkowe higieniczne poporodowe - 2 sztuki Opis Horizon majtki higieniczne, poporodowe, wielokrotnego użytku z siateczki, oddychające, bardzo wygodne i praktyczne. Doskonale utrzymują podkłady poporodowe we właściwym miejscu. Zawartość opakowania Dwie sztuki w opakowaniu: niskie i wysokie.",Siateczkowe majtki poporodowe Horizon 38-40 - 2 sztuki,"Oddychające, siateczkowe majtki poporodowe Horizon rozmiar 38-40. Wygodne i elastyczne, idealne na czas połogu, wspomagają gojenie ran i utrzymują podkłady higieniczne na miejscu. Przeznaczone do wielokrotnego użytku, można je prać w pralce. Opakowanie: 2 sztuki",https://mamapack.pl/products/horizon-majtki-poporodowe-siatka-38-40-a-2szt,horizon-majtki-poporodowe-siatka-38-40-a-2szt,Horizon-Majtki Poporodowe Siatka 2 szt – mamapack,"Horizon-Majtki Poporodowe Siatka 2 szt. Horizon majtki siatkowe higieniczne poporodowe - 2 sztuki Opis Horizon majtki higieniczne, poporodowe",False,,True,True
gid://shopify/Product/9756449669453,9756449669453,ACTIVE,OLA BABY - Chusteczki nawilżane z alantoiną - (72 szt.),ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,mamapack,,"OLA Baby Chusteczki nawilżane z alantoiną (72 szt.) Chusteczki nawilżane dla niemowląt i dzieci ""Everyday"" Skutecznie i łagodnie oczyszczają skórę dziecka Chronią przed suchością i podrażnieniami Z allantoiną, która nawilża i łagodzi podrażnienia Przebadane dermatologicznie pH neutralne dla skóry Nie zawierają alkoholu Opakowanie zawiera 72 chusteczki",Chusteczki nawilżane Ola Baby z alantoiną - 72 sztuki,"Delikatne chusteczki nawilżane Ola Baby Everyday z alantoiną idealne do pielęgnacji wrażliwej skóry niemowląt i dzieci. Nawilżają, łagodzą podrażnienia, a ich łagodna formuła utrzymuje fizjologiczne pH skóry. Doskonałe podczas przewijania, karmienia i zabawy w domu i na zewnątrz​",https://mamapack.pl/products/ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,Ola Baby - Chusteczki nawilżane z alantoiną - 72 szt – mamapack,"OLA Baby Chusteczki nawilżane z alantoiną (72 szt.) Chusteczki nawilżane dla niemowląt i dzieci ""Everyday"" Skutecznie i łagodnie oczyszczają skórę dziecka",False,,True,True
gid://shopify/Product/9756449702221,9756449702221,ACTIVE,Majtki ciążowe Medela - Rozmiar L,me-figi-l-bialy,mamapack,,"Majtki ciążowe Medela - Rozmiar L Producent: Medela Kolor: biały Rozmiar: L Obwód bioder: 100–120 cm Majtki ciążowe od marki Medela sprawdzą się idealnie również podczas połogu. Nie powodują ucisku, a bezszwowa konstrukcja sprawia, że są one niewidoczne pod odzieżą, co zapewnia pełną dyskrecję. Wykonane zostały z oddychającej tkaniny, która jest bezpieczna dla skóry i nie powoduje podrażnień. Komfort matki jest bardzo ważny w tym szczególnym okresie dlatego, aby zapewnić jak największa wygodę majtki posiadają wyprofilowane wycięcie pod brzuchem. Cechy majtek: Wykonane z oddychającej tkaniny, Nie powodują podrażnień, Wykonane metodą bezszwową zapewniają dyskrecję, Wyprofilowane wycięcie pod brzuchem, Zapewniają odpowiedni komfort, Idealne w ciąży i połogu.","Figi poporodowe ME L - białe, wygodne i oddychające","Figi poporodowe ME w rozmiarze L, wykonane z oddychającego materiału, idealne na czas połogu. Zapewniają komfort i higienę, delikatne dla skóry, pomagają w utrzymaniu podkładów poporodowych na miejscu. Niezbędny produkt w torbie dla przyszłej mamy.",https://mamapack.pl/products/me-figi-l-bialy,me-figi-l-bialy,Majtki ciążowe MEDELA - Rozmiar L – mamapack,"Majtki ciążowe MEDELA - Rozmiar L. Nie powodują ucisku, a bezszwowa konstrukcja sprawia, że są one niewidoczne pod odzieżą, co zapewnia pełną dyskrecję.",False,,True,True
gid://shopify/Product/9756449767757,9756449767757,ACTIVE,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 16SZT,chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,mamapack,,"Chusteczki do pielęgnacji piersi 16szt CHICCO Chusteczki do pielęgnacji piersi Chicco są całkowicie bezpieczne. Można je stosować przed i po karmieniu i nie trzeba spłukiwać skóry po ich użyciu. Zawierają szereg naturalnych składników takich jak witamina E, białko pszenicy, gliceryna, mleko czy prebiotyk biolin. Taki bogaty skład sprawia, że chusteczki do pielęgnacji piersi nawilżają skórę oraz wspierają jej naturalne mechanizmy ochronne. Chusteczki nawilżane do pielęgnacji piersi pozbawione są jakichkolwiek składników, które mogłyby potencjalnie zaszkodzić dziecku: parabenów, alkoholu, fenoksyetanolu, czy substancji zapachowych. Nie pozostawiają też smaku.",Chusteczki pielęgnacyjne Chicco do piersi - 72 sztuki,"Chusteczki Chicco do pielęgnacji piersi, idealne do stosowania przed i po karmieniu. Zawierają witaminę E, białko pszenicy, glicerynę i prebiotyk Biolin, wspierając naturalną ochronę skóry. Bez parabenów, alkoholu i zapachów. Bezpieczne dla mamy i dziecka, nie wymagają spłukiwania​",https://mamapack.pl/products/chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,CHICCO- Chusteczki Do Pielęgnacji Piersi 16szt – mamapack,CHICCO- Chusteczki Do Pielęgnacji Piersi 16szt. Chusteczki do pielęgnacji piersi 16szt CHICCO Chusteczki do pielęgnacji piersi Chicco są całkowicie,False,,True,True
gid://shopify/Product/9756449800525,9756449800525,ACTIVE,CHICCO - Chusteczki Pielęgnacyjne - (72szt)  0m+,chicco-916310-chusteczki-pielegnacyjne-72szt-0m,mamapack,,"Chusteczki pielęgnacyjne CHICCO nawilżane (72 sztuki) Chusteczki oczyszczają i pielęgnują delikatną skórę dziecka. Dzięki delikatnej warstwie chusteczki Chicco oczyszczają, odświeżają i nawilżają wrażliwą skórę dziecka. Formuła z kwiatem lotosu jest idealna zarówno do zmiany pieluszki, jak i do przemywania rąk i twarzy dziecka.",Chusteczki pielęgnacyjne Chicco 0M+ - 72 sztuki,"Chusteczki nawilżane Chicco 0M+ przeznaczone do delikatnej pielęgnacji skóry niemowląt. Zawierają ekstrakt z aloesu i rumianku, które łagodzą i nawilżają skórę. Idealne do przewijania, a także do oczyszczania twarzy i rączek dziecka. Odpowiednie od pierwszego dnia życia​",https://mamapack.pl/products/chicco-916310-chusteczki-pielegnacyjne-72szt-0m,chicco-916310-chusteczki-pielegnacyjne-72szt-0m,CHICCO - Chusteczki Pielęgnacyjne - 72 szt. 0m+ – mamapack,CHICCO - Chusteczki Pielęgnacyjne - 72 szt. 0m+. Chusteczki pielęgnacyjne CHICCO nawilżane (72 sztuki) Chusteczki oczyszczają i pielęgnują delikatną skórę,False,,True,True
gid://shopify/Product/9756449866061,9756449866061,ACTIVE,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 72SZT,chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,mamapack,,"Chusteczki do pielęgnacji piersi 72 sztuki Od pierwszego dnia życia dziecka. Nawilżają i chronią naturalne mechanizmy obronne skóry. Prebiotyczny Biolin utrzymuje dobrą mikroflorę dla ochrony, bezpieczeństwa i skuteczności. Witamina E i gliceryna odżywiają delikatną skórę piersi. Testowany dermatologicznie i mikrobiologicznie. Mozna stosowac zarówno przed, jak i po karmieniu. 0 % parabenów, fenoksyetanolu, alkoholu, substancji zapachowych. Chusteczki nie pozostawiają żadnego smaku. Pierś nie wymaga przemywania przed podaniem jej dziecku. Naturalne białka. Formuła preparatu została wzbogacona w białko pszenicy i mleko.","Chusteczki pielęgnacyjne Chicco 0M+ - delikatne i bezpieczne, 72 sztuki","Nawilżane chusteczki Chicco 0M+ przeznaczone do delikatnej pielęgnacji skóry niemowląt. Zawierają ekstrakt z aloesu i rumianku, nawilżają i łagodzą podrażnienia. Idealne podczas przewijania oraz do codziennego oczyszczania wrażliwej skóry od pierwszych dni życia",https://mamapack.pl/products/chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,CHICCO- Chusteczki Do Pielęgnacji Piersi 72szt – mamapack,CHICCO- Chusteczki Do Pielęgnacji Piersi 72szt. Chusteczki do pielęgnacji piersi 72 sztuki Od pierwszego dnia życia dziecka.,False,,True,True
gid://shopify/Product/9756449931597,9756449931597,ACTIVE,KINDII PURE KIN000017 - PATYCZKI dla niemowląt (60szt.),kindii-patyczki-a-60szt-pudelko-pure,mamapack,,"PATYCZKI DLA NIEMOWLĄT KINDII PURE 60 sztuk odpowiednie od pierwszych dni niemowląt Patyczki dla niemowląt Kindii Pure idealnie nadają się do codziennej pielęgnacji okolic oczu, uszu, nosa czy pępka. Delikatne, specjalnie wyprofilowane, wykonane w 100% z bawełny. Patyczki dla niemowląt Kindii Pure: ✔ Anatomiczny kształt główki z ogranicznikiem ✔ Główka wykonana z bawełny ✔ Papierowy, biodegradowalny patyczek ✔ Papierowe opakowanie podlegające recyklingowi ✔ Idealne do pielęgnacji skóry wrażliwej ✔ Dla niemowląt od pierwszych dni życia",Patyczki higieniczne Kindii Pure dla dzieci - 60 sztuk,"Delikatne patyczki higieniczne Kindii Pure, idealne do pielęgnacji niemowląt. Specjalnie profilowana główka z ogranicznikiem zapewnia bezpieczeństwo i komfort przy czyszczeniu oczu, uszu, nosa oraz pępka dziecka. Wykonane ze 100% bawełny, odpowiednie od pierwszych dni życia",https://mamapack.pl/products/kindii-patyczki-a-60szt-pudelko-pure,kindii-patyczki-a-60szt-pudelko-pure,Kindii Pure kin000017 - Patyczki dla niemowląt 60 szt – mamapack,Kindii Pure kin000017 - Patyczki dla niemowląt 60 szt. PATYCZKI DLA NIEMOWLĄT KINDII PURE 60 sztuk odpowiednie od pierwszych dni niemowląt Patyczki dla,False,,True,True
gid://shopify/Product/9756449997133,9756449997133,ACTIVE,KINDII (HAR02DZ040) - PURE WATER 99% - CHUSTECZKI Wodne 60 szt.,kindii-chusteczki-a-60szt-pure-water-99-har02dz04,mamapack,,"Chusteczki nasączone wodą 60szt. Delikatne oczyszczanie skóry wrażliwej Łagodna formuła z alantoiną Bez kompozycji zapachowej 0m+ ph neutralne testowane dermatologicznie Delikatne chusteczki wodne można śmiało nazwać wielofunkcyjnymi. Przydają się nie tylko w trakcie regularnych czynności higieniczno-pielęgnacyjnych, ale również w ciągu dnia w “nagłych” wypadkach. Nasączone są wodą z delikatną formułą z alantoiną. Delikatnie czyszczą wrażliwą skórę dziecka i pomagają utrzymać jej naturalne pH.","Chusteczki Kindii Pure Water 99% - delikatna pielęgnacja, 60 sztuk","Nawilżane chusteczki Kindii Pure Water 99% stworzone do codziennej pielęgnacji wrażliwej skóry niemowląt. Zawierają 99% wody oraz alantoinę, co łagodzi podrażnienia i delikatnie oczyszcza skórę. Bezzapachowe, testowane dermatologicznie, idealne od pierwszego dnia życia",https://mamapack.pl/products/kindii-chusteczki-a-60szt-pure-water-99-har02dz04,kindii-chusteczki-a-60szt-pure-water-99-har02dz04,Kindii - Pure Water 99% - Chusteczki Wodne 60 szt – mamapack,Kindii (har02dz040) - Pure Water 99% - Chusteczki Wodne 60 szt. Delikatne oczyszczanie skóry wrażliwej Łagodna formuła z alantoiną Bez kompozycji,False,,True,True
