order_id,source,date_in_status,delivery_method,package_module,package_id,courier_code,courier_other_name,cost_value,cost_currency,weight,note
34932745,allegro,2026-04-01T15:18:54+02:00,Allegro Paczkomaty InPost,paczkomaty,27784309,paczkomaty,inpost_locker_allegro,0.00,,0,
34935459,allegro,2026-04-01T15:24:42+02:00,Allegro miniKurier24 InPost pobranie,paczkomaty,27784584,paczkomaty,inpost_letter_allegro,0.00,,0,
34973288,shop,2026-04-01T23:20:17+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27800632,furgonetka,inpost,18.38,PLN,0.5,
35029449,shop,2026-04-02T20:59:32+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27871557,furgonetka,inpost,18.68,PLN,3,
35048861,shop,2026-04-02T21:15:46+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27871863,furgonetka,inpost,16.19,PLN,3,
35095343,shop,2026-04-02T21:26:36+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27872104,furgonetka,inpost,16.19,PLN,3,
35112260,allegro,2026-04-03T10:14:33+02:00,Allegro miniKurier24 InPost pobranie,furgonetka,27894662,furgonetka,inpost,18.68,PLN,3,
35132486,shop,2026-04-03T19:53:42+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27924439,furgonetka,inpost,18.68,PLN,0.5,
35190616,allegro,2026-04-04T11:28:22+02:00,Allegro miniKurier24 InPost,paczkomaty,27933051,paczkomaty,inpost_letter_allegro,0.00,,0,
35205342,shop,2026-04-04T12:12:54+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27933801,furgonetka,inpost,16.19,PLN,3,
35206845,shop,2026-04-04T12:23:24+02:00,InPost Kurier (1–2 dni robocze),furgonetka,27933931,furgonetka,inpost,15.89,PLN,0.5,
35240934,allegro,2026-04-08T07:49:21+02:00,Allegro Paczkomaty InPost pobranie,paczkomaty,28133962,paczkomaty,inpost_locker_allegro,0.00,,0,
35240934,allegro,2026-04-08T07:49:21+02:00,Allegro Paczkomaty InPost pobranie,paczkomaty,28134211,paczkomaty,inpost_locker_allegro,0.00,,0,
35244842,shop,2026-04-08T08:07:14+02:00,InPost Kurier (1–2 dni robocze),furgonetka,28137114,furgonetka,inpost,18.68,PLN,1,
