order_id,external_order_id,source,source_id,payment_method,date_in_status,currency,fx_rate_to_pln,fx_rate_date,item_lines,units,product_line_sales_pln,order_adjustments_pln,item_sales_after_adjustments_pln,delivery_income_original,delivery_income_pln,total_revenue_pln,payment_done_original,payment_done_pln,cogs_pln,shipping_cost_pln,shipping_cost_status,known_profit_pln,delivery_method,package_module
34932745,08418950-2d12-11f1-8564-01130a98fb6f,allegro,16713,Allegro Finance,2026-04-01T15:18:54+02:00,PLN,1,2026-04-01,26,26.0,272.27,-2.37,269.9,10.95,10.95,280.85,280.85,280.85,145.48,0.0,ok,135.37,Allegro Paczkomaty InPost,paczkomaty
34935459,9551c310-2d16-11f1-ba4b-f5783d171c9d,allegro,16713,Płatność przy odbiorze,2026-04-01T15:24:42+02:00,PLN,1,2026-04-01,23,23.0,209.23,-10.23,199.0,15.57,15.57,214.57,214.57,214.57,100.77,0.0,ok,113.8,Allegro miniKurier24 InPost pobranie,paczkomaty
34973288,1597,shop,5022274,Cash on Delivery (COD),2026-04-01T23:20:17+02:00,PLN,1,2026-04-01,1,1.0,89.9,0.0,89.9,17.0,17.0,106.9,106.9,106.9,31.97,18.38,ok,56.55,InPost Kurier (1–2 dni robocze),furgonetka
35029449,1598,shop,5022274,Cash on Delivery (COD),2026-04-02T20:59:32+02:00,PLN,1,2026-04-02,27,27.0,251.05,0.0,251.05,17.0,17.0,268.05,268.05,268.05,145.8,18.68,ok,103.57,InPost Kurier (1–2 dni robocze),furgonetka
35048861,1599,shop,5022274,Przelewy24,2026-04-02T21:15:46+02:00,PLN,1,2026-04-02,38,38.0,417.67,0.0,417.67,17.0,17.0,434.67,434.67,434.67,251.98,16.19,ok,166.5,InPost Kurier (1–2 dni robocze),furgonetka
35095343,1600,shop,5022274,Przelewy24,2026-04-02T21:26:36+02:00,PLN,1,2026-04-02,18,18.0,251.74,0.0,251.74,17.0,17.0,268.74,268.74,268.74,133.3,16.19,ok,119.25,InPost Kurier (1–2 dni robocze),furgonetka
35112260,08c01c20-2ea7-11f1-842f-f933e33abef0,allegro,16713,Płatność przy odbiorze,2026-04-03T10:14:33+02:00,PLN,1,2026-04-03,26,26.0,272.27,-2.37,269.9,15.57,15.57,285.47,285.47,285.47,145.48,18.68,ok,121.31,Allegro miniKurier24 InPost pobranie,furgonetka
35132486,1601,shop,5022274,Cash on Delivery (COD),2026-04-03T19:53:42+02:00,PLN,1,2026-04-03,1,1.0,9.5,0.0,9.5,17.0,17.0,26.5,26.5,26.5,4.55,18.68,ok,3.27,InPost Kurier (1–2 dni robocze),furgonetka
35190616,facb8dc2-2f96-11f1-b7cf-b9af22407393,allegro,16713,Allegro Finance,2026-04-04T11:28:22+02:00,PLN,1,2026-04-04,28,28.0,263.85,15.15,279.0,12.49,12.49,291.49,291.49,291.49,137.47,0.0,ok,154.02,Allegro miniKurier24 InPost,paczkomaty
35205342,1603,shop,5022274,Przelewy24,2026-04-04T12:12:54+02:00,PLN,1,2026-04-04,27,27.0,251.05,0.0,251.05,17.0,17.0,268.05,268.05,268.05,146.99,16.19,ok,104.87,InPost Kurier (1–2 dni robocze),furgonetka
