handle,skus,product_title,old_seo_title,new_seo_title,barcodes
bibs-studio-smoczek-uspokajajacy-2-pak-latex-baby,"11022103, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-2, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-3",BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - baby blue / dusty blue,BIBS Studio - Smoczek uspokajający – mamapack,BIBS Studio smoczek Baby Blue/Dusty Blue 2-pak,", , "
bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy,2121417,BIBS - Smoczek uspokajający - SYMETRYCZNY - (2-pak) -Ivory/Blush,BIBS Studio - Smoczek uspokajający – mamapack,BIBS smoczek symetryczny Ivory/Blush 2-pak,
bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy-1,11015104,BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - KOŚĆ SŁONIOWA/WANILIA,BIBS Studio - Smoczek uspokajający – mamapack,BIBS Studio smoczek Ko?? S?oniowa/Wanilia 2-pak,
canpol-2-424-szczotka-grzebien-do-wlosow-miekka-niebieska,5909780,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  NIEBIESKA,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,Canpol 2/424 szczotka i grzebie? niebieska,
canpol-2-424-szczotka-grzebien-do-wlosow-miekka-rozowa,5909781,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  RÓŻOWA,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,Canpol 2/424 szczotka i grzebie? r??owa,
canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy,774185,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - beżowy,CANPOL 22/580 - Smoczek – mamapack,Canpol 22/580 smoczek symetryczny 0m+ be?owy,
smoczek-uspokajajacy-0-6m-symetryczny-okragly-rozowy,776114,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - RÓŻOWY,CANPOL 22/580 - Smoczek – mamapack,Canpol 22/580 smoczek symetryczny 0m+ r??owy,
canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-blue,789902,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  - Bonjour Paris blue,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,Canpol 26/901 pieluszki mu?linowe Bonjour Paris Blue,
canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-pink,790376,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  -Bonjour Paris pink,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,Canpol 26/901 pieluszki mu?linowe Bonjour Paris Pink,
canpol-34-920-smoczek-silikonowy-0-6m-symetryczny-exotic-lama,5902812,CANPOL 34/920 - Smoczek silikonowy - (0-6m) - symetryczny EXOTIC Lama,CANPOL 34/920 - Smoczek silikonowy – mamapack,Canpol 34/920 smoczek Exotic Lama 0-6m,
