group,old_live_title,handle,product_title,skus,barcodes,current_seo_title,legacyResourceId,id
1,BIBS Studio - Smoczek uspokajający – mamapack,bibs-studio-smoczek-uspokajajacy-2-pak-latex-baby,BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - baby blue / dusty blue,"11022103, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-2, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-3",", , ",BIBS Studio - Smoczek uspokajający – mamapack,10606522073421,gid://shopify/Product/10606522073421
1,BIBS Studio - Smoczek uspokajający – mamapack,bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy,BIBS - Smoczek uspokajający - SYMETRYCZNY - (2-pak) -Ivory/Blush,2121417,,BIBS Studio - Smoczek uspokajający – mamapack,10630605209933,gid://shopify/Product/10630605209933
1,BIBS Studio - Smoczek uspokajający – mamapack,bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy-1,BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - KOŚĆ SŁONIOWA/WANILIA,11015104,,BIBS Studio - Smoczek uspokajający – mamapack,10630618480973,gid://shopify/Product/10630618480973
2,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,canpol-2-424-szczotka-grzebien-do-wlosow-miekka-niebieska,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  NIEBIESKA,5909780,,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,10486348611917,gid://shopify/Product/10486348611917
2,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,canpol-2-424-szczotka-grzebien-do-wlosow-miekka-rozowa,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  RÓŻOWA,5909781,,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) – mamapack,10486351233357,gid://shopify/Product/10486351233357
3,CANPOL 22/580 - Smoczek – mamapack,canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - beżowy,774185,,CANPOL 22/580 - Smoczek – mamapack,9984495878477,gid://shopify/Product/9984495878477
3,CANPOL 22/580 - Smoczek – mamapack,smoczek-uspokajajacy-0-6m-symetryczny-okragly-rozowy,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - RÓŻOWY,776114,,CANPOL 22/580 - Smoczek – mamapack,10133101543757,gid://shopify/Product/10133101543757
4,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-blue,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  - Bonjour Paris blue,789902,,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,9790716576077,gid://shopify/Product/9790716576077
4,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-pink,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  -Bonjour Paris pink,790376,,CANPOL 26/901 - Pieluszki Muślinowe – mamapack,9790716608845,gid://shopify/Product/9790716608845
5,CANPOL 34/920 - Smoczek silikonowy – mamapack,canpol-34-920-smoczek-silikonowy-0-6m-symetryczny-exotic-lama,CANPOL 34/920 - Smoczek silikonowy - (0-6m) - symetryczny EXOTIC Lama,5902812,,CANPOL 34/920 - Smoczek silikonowy – mamapack,9790712217933,gid://shopify/Product/9790712217933
5,CANPOL 34/920 - Smoczek silikonowy – mamapack,canpol-34-920-smoczek-silikonowy-0-m-symetryczny-exotic-koala,CANPOL 34/920 - Smoczek silikonowy - (0+m) - SYMETRYCZNY - EXOTIC Koala,5901691870130,,CANPOL 34/920 - Smoczek silikonowy – mamapack,10485662679373,gid://shopify/Product/10485662679373
5,CANPOL 34/920 - Smoczek silikonowy – mamapack,canpol-34-920-smoczek-silikonowy-symetryczny-0-6m-panda,CANPOL 34/920 - Smoczek silikonowy - SYMETRYCZNY - (0-6m) - Panda,5902814,,CANPOL 34/920 - Smoczek silikonowy – mamapack,10336386154829,gid://shopify/Product/10336386154829
6,CANPOL 35/242(3) - Butelka antykolkowa – mamapack,canpol-35-2423-butelka-antykolkowa-easystart-mountains-green-120ml-240ml,CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml),"5901691888005, 5901691888029",", ",CANPOL 35/242(3) - Butelka antykolkowa – mamapack,10578272649549,gid://shopify/Product/10578272649549
