sku,product_title,handle,status,admin_seo_title,live_title,url
KOM-MD-1,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna,ACTIVE,Torba do szpitala mama i noworodek - Kompletna,Torba do szpitala mama i noworodek - Kompletna – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna
ROZ-MD-1,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona,ACTIVE,Torba do szpitala mama i noworodek - Rozszerzona,Torba do szpitala mama i noworodek - Rozszerzona – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona
POD-MD-1,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PODSTAWOWA,torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa,ACTIVE,Torba do szpitala mama i noworodek - Podstawowa,Torba do szpitala mama i noworodek - Podstawowa – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa
PREM-MD-1,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PREMIUM,kompletny-md,ACTIVE,Torba do szpitala mama i noworodek - Premium,Torba do szpitala mama i noworodek - Premium – mamapack,https://mamapack.pl/products/kompletny-md
KOM-M-2,Torba do szpitala dla MAMY – gotowa wyprawka KOMPLETNA,torba-do-szpitala-mamy-gotowa-wyprawka-kompletna,ACTIVE,Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-gotowa-wyprawka-kompletna
3a15f9de-715b-4dbd-bbca-da1e78ce91e7,Torba do szpitala dla MAMY – gotowa wyprawka PODSTAWOWA,torba-do-szpitala-mamy-gotowa-wyprawka-podstawowa,ACTIVE,Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-gotowa-wyprawka-podstawowa
PREM-M-2,Torba do szpitala dla MAMY – gotowa wyprawka Premium,torba-do-szpitala-mamy-gotowa-wyprawka-premium,ACTIVE,Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-gotowa-wyprawka-premium
ROZ-M-2,Torba do szpitala dla MAMY – gotowa wyprawka ROZSZERZONA,torba-do-szpitala-mamy-gotowa-wyprawka-rozszerzona,ACTIVE,Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,https://mamapack.pl/products/torba-do-szpitala-mamy-gotowa-wyprawka-rozszerzona
KOM-DZ-03,Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,torba-do-szpitala-noworodka-gotowa-wyprawka-kompletna,ACTIVE,Torba do szpitala dla noworodka - wyprawka Kompletna – mamapack,Torba do szpitala dla noworodka - wyprawka Kompletna – mamapack,https://mamapack.pl/products/torba-do-szpitala-noworodka-gotowa-wyprawka-kompletna
POD-DZ-01,Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA,torba-do-szpitala-dla-noworodka-gotowa-wyprawka-premium,ACTIVE,Torba do szpitala dla noworodka - wyprawka Podstawowa – mamapack,Torba do szpitala dla noworodka - wyprawka Podstawowa – mamapack,https://mamapack.pl/products/torba-do-szpitala-dla-noworodka-gotowa-wyprawka-premium
PRM-DZ-04,Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM,torba-do-szpitala-noworodka-gotowa-wyprawka-premium,ACTIVE,Torba do szpitala dla noworodka - wyprawka Premium – mamapack,Torba do szpitala dla noworodka - wyprawka Premium – mamapack,https://mamapack.pl/products/torba-do-szpitala-noworodka-gotowa-wyprawka-premium
ROZ-DZ-02,Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,torba-do-szpitala-noworodka-gotowa-wyprawka-rozszerzona,ACTIVE,Torba do szpitala dla noworodka - wyprawka Rozszerzona – mamapack,Torba do szpitala dla noworodka - wyprawka Rozszerzona – mamapack,https://mamapack.pl/products/torba-do-szpitala-noworodka-gotowa-wyprawka-rozszerzona
