group_key,ads_offer_count,bundle_check,titles,offer_ids,item_group_ids
Avent-Zestaw: Butelka dla niemowląt 125 ml + Smoczek – mamapack,1,bundle_like,Avent-Zestaw: Butelka dla niemowląt 125 ml + Smoczek – mamapack,shopify_PL_9816077205837_50445874233677,
BIBS - Smoczek - kauczuk - SZAŁWIA,1,not_bundle,BIBS - Smoczek - kauczuk - SZAŁWIA,13606874948860542676,
BIBS Studio - Smoczek uspokajający – mamapack,2,not_bundle,BIBS Studio - Smoczek uspokajający – mamapack,shopify_PL_10630605209933_53748969636173 | shopify_PL_10630618480973_53749032124749,
Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,2,not_bundle,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,shopify_PL_9984490242381_51163459060045 | shopify_PL_9984493814093_51163500806477,
shopify_PL_10489715360077,2,not_bundle,BIBS Supreme (160336) - Smoczek uspokajający – mamapack 1 (0+) | BIBS Supreme (160336) - Smoczek uspokajający – mamapack 2 (6+),shopify_PL_10489715360077_53749050212685 | shopify_PL_10489715360077_53749050245453,shopify_PL_10489715360077
shopify_PL_10606522073421,3,not_bundle,BIBS Studio - Smoczek uspokajający – mamapack 1 (0m+) | BIBS Studio - Smoczek uspokajający – mamapack 2 (6m+) | BIBS Studio - Smoczek uspokajający – mamapack 3 (18m+),shopify_PL_10606522073421_53653080539469 | shopify_PL_10606522073421_53653080572237 | shopify_PL_10606522073421_53653080605005,shopify_PL_10606522073421
Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,1,bundle_like,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,8641583731927345873,
Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,2,bundle_like,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,shopify_PL_10523326054733_53311333007693 | shopify_PL_10558848336205_53441254457677,
Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,2,bundle_like,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,shopify_PL_10519344120141_53296171483469 | shopify_PL_10523329921357_53311374360909,
Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,1,bundle_like,Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,shopify_PL_10517867528525_53291462525261,
Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,1,bundle_like,Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,shopify_PL_10517869068621_53291474682189,
Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,1,bundle_like,Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,shopify_PL_10526795039053_53327971582285,
Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,1,bundle_like,Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,shopify_PL_10517866021197_53291451744589,
Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,1,bundle_like,Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,16511090014209914440,
Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA,1,bundle_like,Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA,11555450801705149523,
Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM,1,bundle_like,Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM,9931257749113620660,
Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,1,bundle_like,Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,10684112702236703032,
