productId,offerId,title,strictBundleCandidate,broadSetCandidate,paidApproved,shoppingStatus,displayAdsStatus,freeListingsStatus,excludedDestinations,includedDestinations,itemLevelIssuesCount,productTypes,customLabels
online:pl:PL:shopify_PL_9916766585165_50842336395597,shopify_PL_9916766585165_50842336395597,AKUKU a0338 - Szczotka do butelek – mamapack,True,True,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10606522073421_53653080539469,shopify_PL_10606522073421_53653080539469,BIBS Studio - Smoczek uspokajający – mamapack 1 (0m+),True,True,"DisplayAds,Shopping",approved,approved,approved,,,0,,
online:pl:PL:shopify_PL_10288718348621_52471180493133,shopify_PL_10288718348621_52471180493133,AKUKU a0458 - Zestaw manicure - różowy – mamapack,True,True,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9984495878477_51163511226701,shopify_PL_9984495878477_51163511226701,CANPOL 22/580 - Smoczek – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10486372172109_53158485590349,shopify_PL_10486372172109_53158485590349,CANPOL 2/782 - Termometr kąpielowy – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10578272649549_53530519208269,shopify_PL_10578272649549_53530519208269,CANPOL 35/242(3) - Butelka antykolkowa – mamapack 120 ml (0+),False,False,"DisplayAds,Shopping",approved,approved,approved,,,5,,
online:pl:PL:shopify_PL_10288796369229_52471364845901,shopify_PL_10288796369229_52471364845901,Szampon z keratyną - Kozie Mleko - Ziaja - 400ml – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,5,,
online:pl:PL:shopify_PL_10497155825997_53196343017805,shopify_PL_10497155825997_53196343017805,CHICCO - Termometr elektroniczny - Digi Baby – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10599592624461_53626601636173,shopify_PL_10599592624461_53626601636173,Rożek niemowlęcy Muślinowy - 75x75 cm – mamapack MISIE jasne,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9807598747981_50445618938189,shopify_PL_9807598747981_50445618938189,Koszula do karmienia - (beige) - Doctor Nap – mamapack XXL,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10390102278477_52818483642701,shopify_PL_10390102278477_52818483642701,Organizer na pieluchy i akcesoria - Pleciony- 3 – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9916759179597_50842277019981,shopify_PL_9916759179597_50842277019981,Chusteczki dezynfekcyjne nasączone alkoholem 70% – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,5,,
online:pl:PL:shopify_PL_10619255030093_53708175180109,shopify_PL_10619255030093_53708175180109,Organizer na akcesoria niemowlęce - w stylu Boho – mamapack,True,True,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10599881245005_53626727629133,shopify_PL_10599881245005_53626727629133,Rożek niemowlęcy Mix - standard 80x80 cm – mamapack Miś różowy,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9916730147149_50842117439821,shopify_PL_9916730147149_50842117439821,Klapki damskie - Różowy – mamapack 39,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10523339948365_53311436390733,shopify_PL_10523339948365_53311436390733,Rożek niemowlęcy Teddy - standard 80x80 cm – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9790715986253_50473175744845,shopify_PL_9790715986253_50473175744845,AKUKU a0549 - Majtki poporodowe - 5 szt – mamapack S,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9807599665485_50445576798541,shopify_PL_9807599665485_50445576798541,Koszula do karmienia -(grey) - Doctor Nap – mamapack XXXL,False,False,Shopping,approved,disapproved,approved,,,3,,
online:pl:PL:shopify_PL_9790715396429_50310952157517,shopify_PL_9790715396429_50310952157517,MEDELA 101041323 - Purelan maść Lanolinowa- (7g) – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,5,,
online:pl:PL:shopify_PL_9790721524045_50310959300941,shopify_PL_9790721524045_50310959300941,b.o.513 - Podkład do przewijania 40x60cm - 10 szt – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9816061804877_50445764821325,shopify_PL_9816061804877_50445764821325,Biustonosz sportowy do karmienia Doctor Nap – mamapack S,False,False,Shopping,approved,disapproved,approved,,,3,,
online:pl:PL:shopify_PL_9756450488653_50205945561421,shopify_PL_9756450488653_50205945561421,Bamboolove - Pieluszki - Rozmiar S - 25 szt – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_10578233033037_53530378338637,shopify_PL_10578233033037_53530378338637,CANPOL 51/034 - Tasiemka do smoczka (uspokajającego) – mamapack,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
online:pl:PL:shopify_PL_9807599468877_50445603864909,shopify_PL_9807599468877_50445603864909,Koszula do karmienia -(graphite) - Doctor Nap – mamapack S,False,False,Shopping,approved,disapproved,approved,,,3,,
online:pl:PL:shopify_PL_9756449472845_50473090777421,shopify_PL_9756449472845_50473090777421,Horizon-Majtki Poporodowe Siatka 2 szt – mamapack 40-44,False,False,"DisplayAds,Shopping",approved,approved,approved,,,5,,
online:pl:PL:shopify_PL_10497183809869_53710885388621,shopify_PL_10497183809869_53710885388621,tcb.9504 - Koszula do karmienia - (grey) - Doctor Nap – mamapack XL,False,False,Shopping,approved,disapproved,approved,,,3,,
online:pl:PL:shopify_PL_10556128493901_53428376207693,shopify_PL_10556128493901_53428376207693,CANPOL 22/667 - SMOCZEK - silikon orthodontic - SYMETRYCZNY - ( 0-6 m) - GOOSE - 2 szt.,False,False,"DisplayAds,Shopping",approved,approved,approved,,,2,,
