offer_id,title,merchant_found,before_pause,patch_status,after_pause,verified_ok
shopify_PL_10644508737869_53812103577933,Tega Baby Wanna dziecięca Kaczka 86 cm,False,,,,False
shopify_PL_10644508737869_53816002249037,Tega Baby Wanna dziecięca Kaczka 86 cm,False,,,,False
shopify_PL_10644508737869_53816002281805,Tega Baby Wanna dziecięca Kaczka 86 cm,False,,,,False
shopify_PL_10644508737869_53816002314573,Tega Baby Wanna dziecięca Kaczka 86 cm,False,,,,False
shopify_PL_10644508737869_53816002347341,Tega Baby Wanna dziecięca Kaczka 86 cm,False,,,,False
shopify_PL_10644509065549_53812103905613,Tega Baby Wanna dziecięca Kaczka 102 cm,False,,,,False
shopify_PL_10644509065549_53816002380109,Tega Baby Wanna dziecięca Kaczka 102 cm,False,,,,False
shopify_PL_10644509065549_53816002412877,Tega Baby Wanna dziecięca Kaczka 102 cm,False,,,,False
shopify_PL_10644509065549_53816002445645,Tega Baby Wanna dziecięca Kaczka 102 cm,False,,,,False
shopify_PL_10644509065549_53816002478413,Tega Baby Wanna dziecięca Kaczka 102 cm,False,,,,False
shopify_PL_10644509393229_53812104233293,Tega Baby Wanna dziecięca Dziki Zachód 86 cm,False,,,,False
shopify_PL_10644509393229_53816003232077,Tega Baby Wanna dziecięca Dziki Zachód 86 cm,False,,,,False
shopify_PL_10644509524301_53812104331597,Tega Baby Wanna dziecięca Dziki Zachód z odpływem 86 cm,False,,,,False
shopify_PL_10644509524301_53816003330381,Tega Baby Wanna dziecięca Dziki Zachód z odpływem 86 cm,False,,,,False
shopify_PL_10644509622605_53812104462669,Tega Baby Wanna dziecięca Dziki Zachód 102 cm,False,,,,False
shopify_PL_10644509622605_53816003297613,Tega Baby Wanna dziecięca Dziki Zachód 102 cm,False,,,,False
shopify_PL_10644509720909_53812104593741,Tega Baby Wanienka składana z odpływem standard,False,,,,False
shopify_PL_10644509720909_53816003395917,Tega Baby Wanienka składana z odpływem standard,False,,,,False
shopify_PL_10644509720909_53816003428685,Tega Baby Wanienka składana z odpływem standard,False,,,,False
shopify_PL_10644510146893_53812105150797,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,False,,,,False
shopify_PL_10644510146893_53816002543949,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,False,,,,False
shopify_PL_10644510146893_53816002576717,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,False,,,,False
shopify_PL_10644510146893_53816002609485,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,False,,,,False
shopify_PL_10644510146893_53816002642253,Tega Baby Wanna dziecięca Leśna Opowieść 86 cm,False,,,,False
shopify_PL_10644510441805_53812105445709,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,False,,,,False
shopify_PL_10644510441805_53816002707789,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,False,,,,False
shopify_PL_10644510441805_53816002740557,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,False,,,,False
shopify_PL_10644510441805_53816002773325,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,False,,,,False
shopify_PL_10644510441805_53816002806093,Tega Baby Wanna dziecięca Leśna Opowieść 102 cm,False,,,,False
shopify_PL_10644510540109_53812105544013,Tega Baby Wanna dziecięca Króliczki z odpływem 86 cm,False,,,,False
shopify_PL_10644510540109_53816002871629,Tega Baby Wanna dziecięca Króliczki z odpływem 86 cm,False,,,,False
shopify_PL_10644510671181_53812105675085,Tega Baby Wanna dziecięca Króliczki z odpływem 102 cm,False,,,,False
shopify_PL_10644510671181_53816002937165,Tega Baby Wanna dziecięca Króliczki z odpływem 102 cm,False,,,,False
shopify_PL_10644510671181_53816002969933,Tega Baby Wanna dziecięca Króliczki z odpływem 102 cm,False,,,,False
shopify_PL_10644510900557_53812105904461,Tega Baby Wanna dziecięca Meteo z odpływem 86 cm,False,,,,False
shopify_PL_10644510900557_53816003002701,Tega Baby Wanna dziecięca Meteo z odpływem 86 cm,False,,,,False
shopify_PL_10644510900557_53816003035469,Tega Baby Wanna dziecięca Meteo z odpływem 86 cm,False,,,,False
shopify_PL_10644511064397_53812106068301,Tega Baby Wanna dziecięca Meteo z odpływem 102 cm,False,,,,False
shopify_PL_10644511064397_53816003101005,Tega Baby Wanna dziecięca Meteo z odpływem 102 cm,False,,,,False
shopify_PL_10644511064397_53816003133773,Tega Baby Wanna dziecięca Meteo z odpływem 102 cm,False,,,,False
shopify_PL_10644511195469_53812106199373,Tega Baby Wanienka Monsters z odpływem 86 cm,False,,,,False
shopify_PL_10644511228237_53812106232141,Tega Baby Wanienka Monsters z odpływem 102 cm,False,,,,False
shopify_PL_10644511293773_53812106297677,Tega Baby Wanna dziecięca Miś 86 cm,False,,,,False
shopify_PL_10644511359309_53812106363213,Tega Baby Wanna dziecięca Miś 102 cm,False,,,,False
