product_id,offer_id,title,link,pause,currently_in_ads,classification,content_language,target_country
online:pl:PL:shopify_PL_9916766585165_50842336395597,shopify_PL_9916766585165_50842336395597,AKUKU a0338 - Szczotka do butelek – mamapack,https://mamapack.pl/products/akuku-a0338-szczotka-do-butelek?variant=50842336395597&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10644510671181_53816002969933,shopify_PL_10644510671181_53816002969933,Tega Baby Wanna dziecięca Króliczki z odpływem 102 cm jasny zielony,https://mamapack.pl/products/tega-baby-wanna-dziecieca-kroliczki-z-odplywem-102-cm?variant=53816002969933&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,,True,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10606522073421_53653080539469,shopify_PL_10606522073421_53653080539469,BIBS Studio - Smoczek uspokajający – mamapack 1 (0m+),https://mamapack.pl/products/bibs-studio-smoczek-uspokajajacy-2-pak-latex-baby?variant=53653080539469&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_9984498565453_51163553104205,shopify_PL_9984498565453_51163553104205,AKUKU A1231 - Okrycie kąpielowe -( 80x80 cm) - 100% bawełna - ecru,https://mamapack.pl/products/akuku-a1231-okrycie-kapielowe-80x80-cm-100-bawelna-ecru?variant=51163553104205&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10288718348621_52471180493133,shopify_PL_10288718348621_52471180493133,AKUKU a0458 - Zestaw manicure - różowy – mamapack,https://mamapack.pl/products/akuku-a0458-zestaw-manicure-rozowy?variant=52471180493133&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_9984495878477_51163511226701,shopify_PL_9984495878477_51163511226701,CANPOL 22/580 - Smoczek – mamapack,https://mamapack.pl/products/canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy?variant=51163511226701&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10486372172109_53158485590349,shopify_PL_10486372172109_53158485590349,CANPOL 2/782 - Termometr kąpielowy – mamapack,https://mamapack.pl/products/canpol-2-782-termometr-kapielowy-delfin-niebieski?variant=53158485590349&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10578272649549_53530519208269,shopify_PL_10578272649549_53530519208269,CANPOL 35/242(3) - Butelka antykolkowa – mamapack 120 ml (0+),https://mamapack.pl/products/canpol-35-2423-butelka-antykolkowa-easystart-mountains-green-120ml-240ml?variant=53530519208269&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10288796369229_52471364845901,shopify_PL_10288796369229_52471364845901,Szampon z keratyną - Kozie Mleko - Ziaja - 400ml – mamapack,https://mamapack.pl/products/szampon-z-keratyna-kozie-mleko-ziaja-400ml?variant=52471364845901&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10497155825997_53196343017805,shopify_PL_10497155825997_53196343017805,CHICCO - Termometr elektroniczny - Digi Baby – mamapack,https://mamapack.pl/products/chicco-termometr-elektroniczny-digi-baby-mix-kolorow?variant=53196343017805&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10599592624461_53626601636173,shopify_PL_10599592624461_53626601636173,Rożek niemowlęcy Muślinowy - 75x75 cm – mamapack MISIE jasne,https://mamapack.pl/products/rozek-niemowlecy-muslinowy-75-x-cm-kokarda-bawelna?variant=53626601636173&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_9807598747981_50445618938189,shopify_PL_9807598747981_50445618938189,Koszula do karmienia - (beige) - Doctor Nap – mamapack XXL,https://mamapack.pl/products/koszula-do-karmienia-beige-xxl-doctor-nap?variant=50445618938189&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10390102278477_52818483642701,shopify_PL_10390102278477_52818483642701,Organizer na pieluchy i akcesoria - Pleciony- 3 – mamapack,https://mamapack.pl/products/organizer-na-pieluchy-i-akcesoria-pleciony-3-przegrody-uchwyty?variant=52818483642701&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:3959900680296635513,3959900680296635513,BIBS (1001000250) - Smoczek anatomiczny - (kauczuk) - (0+) - SZAŁWIA -,https://mamapack.pl/products/bibs-1001000250-smoczek-anatomiczny-kauczuk-0-szalwia-1-szt,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_9916759179597_50842277019981,shopify_PL_9916759179597_50842277019981,Chusteczki dezynfekcyjne nasączone alkoholem 70% – mamapack,https://mamapack.pl/products/chusteczki-dezynfekcyjne-nasaczone-alkoholem-70-apteo-30-x-30-mm-5-szt?variant=50842277019981&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10619255030093_53708175180109,shopify_PL_10619255030093_53708175180109,Organizer na akcesoria niemowlęce - w stylu Boho – mamapack,https://mamapack.pl/products/organizer-akcesoria-niemowlece-w-stylu-boho?variant=53708175180109&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
online:pl:PL:shopify_PL_10599881245005_53626727629133,shopify_PL_10599881245005_53626727629133,Rożek niemowlęcy Mix - standard 80x80 cm – mamapack Miś różowy,https://mamapack.pl/products/rozek-niemowlecy-mix-standard-80x80-cm-dwustronny-bawelna?variant=53626727629133&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,ads,False,pause_non_bundle,pl,PL
