title,handle,state,products_count,online_store,shop,google
Pieluchy i przewijanie,pieluchy-i-przewijanie,created,44,False,False,False
Zabawki do kąpieli,zabawki-do-kapieli,created,0,False,False,False
Stojaki do wanienek,stojaki-do-wanienek,created,0,False,False,False
Śliniaki,sliniaki,created,0,False,False,False
Podgrzewacze do butelek,podgrzewacze-do-butelek,created,0,False,False,False
Krzesełka do karmienia,krzeselka-do-karmienia,created,0,False,False,False
Suszarki do butelek,suszarki-do-butelek,created,0,False,False,False
Smoczki do butelek,smoczki-do-butelek,created,0,False,False,False
Rożki i otulacze dla niemowląt,rozki-i-otulacze-dla-niemowlat,created,14,False,False,False
Rożki na wyjście ze szpitala,rozki-na-wyjscie-ze-szpitala,created,14,False,False,False
Pościel niemowlęca,posciel-niemowleca,created,0,False,False,False
Materace,materace,created,0,False,False,False
Łóżeczka niemowlęce,lozeczka-niemowlece,created,0,False,False,False
Łóżeczka dostawne,lozeczka-dostawne,created,0,False,False,False
Komody i przewijaki,komody-i-przewijaki,created,0,False,False,False
Lampki i projektory,lampki-i-projektory,created,0,False,False,False
Wózki dziecięce,wozki-dzieciece,created,0,False,False,False
Spacerówki,spacerowki,created,0,False,False,False
Foteliki samochodowe,foteliki-samochodowe,created,0,False,False,False
Akcesoria do wózków,akcesoria-do-wozkow,created,0,False,False,False
Nosidła i chusty,nosidla-i-chusty,created,0,False,False,False
Elektronika dziecka,elektronika-dziecka,created,7,False,False,False
Nianie wideo,nianie-wideo,created,0,False,False,False
Termometry elektroniczne,termometry-elektroniczne,created,1,False,False,False
Wagi dla niemowląt,wagi-dla-niemowlat,created,0,False,False,False
Inhalatory,inhalatory,created,0,False,False,False
Gryzaki,gryzaki,created,0,False,False,False
Zabawki,zabawki,created,0,False,False,False
Maty edukacyjne,maty-edukacyjne,created,1,False,False,False
Pluszaki,pluszaki,created,0,False,False,False
