Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
bibs-smoczek-2-pak-latex-anatomiczny-kosc-sloniowa-roz,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Róż,"<p>BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Róż prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=n-wgHaRhB50gEt6t9RPA0Q"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2111417"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=RdvKau07GDLqkLA571dCpw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2211417"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000090,,,,deny,manual,21.87,,TRUE,TRUE,5713795242368,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000090_2111417l%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Róż - Size 1
bibs-smoczek-2-pak-latex-anatomiczny-kosc-sloniowa-roz,,,,,,,Size,2,,,,,BIB000088,,,,deny,manual,21.87,,TRUE,TRUE,5713795242375,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000088_5713795242375_2_BIBS_COLOUR_PACK_Ana_Latex_S2_Ivory_Blush_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Róż - Size 2
bibs-smoczek-2-pak-latex-anatomiczny-kosc-sloniowa-szalwia,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Szałwia,"<p>BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Szałwia prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=vm6DCO-B7TnTKQkVdx2vcg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2111416"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=3JNP67IdNGPBQp5fJiisMg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2211416"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000089,,,,deny,manual,21.87,,TRUE,TRUE,5713795242320,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000089_5713795242320_2_BIBS_COLOUR_PACK_Ana_Latex_S1_Ivory_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Szałwia - Size 1
bibs-smoczek-2-pak-latex-anatomiczny-kosc-sloniowa-szalwia,,,,,,,Size,2,,,,,BIB000087,,,,deny,manual,21.87,,TRUE,TRUE,5713795242337,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000087_5713795242337_2_BIBS_COLOUR_PACK_Ana_Latex_Ivory_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Anatomiczny Kość Słoniowa/Szałwia - Size 2
bibs-smoczek-2-pak-latex-blekit-j-niebieski,BIBS Smoczek 2 Pak Latex Błękit/J.Niebieski,"<p>BIBS Smoczek 2 Pak Latex Błękit/J.Niebieski prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 2</li></ul><p>Original AICO links:</p><ul><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=KFZIi85Cv6JRa1lG-VMWdQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120214"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,2,,,,,BIB000094,,,,deny,manual,21.87,,TRUE,TRUE,5713795120192,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000094_120214%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Błękit/J.Niebieski - Size 2
bibs-smoczek-2-pak-latex-kosc-sloniowa-roz,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Róż,"<p>BIBS Smoczek 2 Pak Latex Kość Słoniowa/Róż prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2, 3</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=RAu9s9zPLGplGltazeTuaA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=110256"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=_8bSfXNFOQk51k7lhA7Qxw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120256"">search by code</a></li><li>Size 3: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=Rqwc4JCz_3Seji7VNZdfbA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=130253"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000102,,,,deny,manual,21.87,,TRUE,TRUE,5713795110209,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000102_110256r%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Róż - Size 1
bibs-smoczek-2-pak-latex-kosc-sloniowa-roz,,,,,,,Size,2,,,,,BIB000097,,,,deny,manual,21.87,,TRUE,TRUE,5713795120406,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000097_120256%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Róż - Size 2
bibs-smoczek-2-pak-latex-kosc-sloniowa-roz,,,,,,,Size,3,,,,,BIB000105,,,,deny,manual,21.87,,TRUE,TRUE,5713795202096,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000105_130253%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Róż - Size 3
bibs-smoczek-2-pak-latex-kosc-sloniowa-szalwia,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Szałwia,"<p>BIBS Smoczek 2 Pak Latex Kość Słoniowa/Szałwia prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2, 3</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=P4bkw_WokBH-60_jFBKB6A"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=110241"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=4q2Fc1HE4noteyym1Z03dw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120241"">search by code</a></li><li>Size 3: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=uYn6gp_xJ8a0s19sF87hsg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=130241"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000101,,,,deny,manual,21.87,,TRUE,TRUE,5713795110438,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000101_110241y%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Szałwia - Size 1
bibs-smoczek-2-pak-latex-kosc-sloniowa-szalwia,,,,,,,Size,2,,,,,BIB000095,,,,deny,manual,21.87,,TRUE,TRUE,5713795120536,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000095_120241%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Szałwia - Size 2
